Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
15-12-2021,Vicky and Her Mystery,158.14,287.00,7.30,fr,"Adventure, Family, Drama"
30-08-2019,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,158.09,362.00,8.40,ja,"Animation, Adventure, Comedy, Fantasy"
22-10-2021,7 Prisoners,158.07,216.00,7.10,pt,"Drama, Crime"
23-02-2022,11M,157.39,11.00,6.50,es,Documentary
12-04-2021,Seobok: Project Clone,156.42,110.00,7.60,ko,"Science Fiction, Action"
19-05-2004,Shrek 2,155.92,9736.00,7.20,en,"Animation, Family, Comedy, Fantasy, Adventure"
01-02-2010,Percy Jackson & the Olympians: The Lightning Thief,155.79,6222.00,6.20,en,"Adventure, Fantasy, Family"
26-08-2016,Your Name.,155.48,8426.00,8.50,ja,"Romance, Animation, Drama"
17-12-2021,Chief Daddy 2: Going for Broke,155.40,59.00,5.90,en,Comedy
27-04-2016,Captain America: Civil War,155.39,19474.00,7.40,en,"Adventure, Action, Science Fiction"
02-10-2019,Joker,155.06,20016.00,8.20,en,"Crime, Thriller, Drama"
20-12-2012,Jack Reacher,154.98,5678.00,6.60,en,"Crime, Drama, Thriller, Action"
04-03-2022,The Invisible Thread,154.77,43.00,6.70,it,"Comedy, Drama"
11-08-2021,SAS: Red Notice,154.10,344.00,5.90,en,"Drama, Action, Thriller"
04-09-2020,Mulan,153.97,5520.00,7.00,en,"Adventure, Fantasy, Drama"
10-02-2022,I Want You Back,153.82,89.00,6.10,en,"Comedy, Romance"
06-07-2006,Pirates of the Caribbean: Dead Man's Chest,152.96,13140.00,7.30,en,"Adventure, Fantasy, Action"
29-09-2009,Ninja Assassin,152.29,1115.00,6.50,en,Action
25-12-2013,The Wolf of Wall Street,152.10,19325.00,8.00,en,"Crime, Drama, Comedy"
30-12-2021,Hilda and the Mountain King,151.98,50.00,7.40,en,"Animation, Adventure, Fantasy, Family, TV Movie"
04-06-2021,Rurouni Kenshin: The Beginning,151.97,252.00,7.80,ja,"Action, Adventure, Drama"
24-12-2021,Minnal Murali,151.51,192.00,7.20,ml,"Action, Adventure, Comedy"
12-07-2019,Pokémon: Mewtwo Strikes Back - Evolution,150.99,366.00,6.70,ja,"Animation, Adventure, Fantasy, Action, Family"
30-07-2021,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,150.74,4.00,7.00,ja,"Animation, Action, Adventure, Fantasy"
07-08-2014,Teenage Mutant Ninja Turtles,150.43,5774.00,5.90,en,"Science Fiction, Action, Adventure, Comedy"
